motif	HGNC	sub_cluster
SMAD2.H13CORE.0.P.B	SMAD2	1308
SMAD2.H13CORE.1.P.B	SMAD2	1309
SMAD3.H13CORE.0.S.B	SMAD3	1310
SMAD3.H13CORE.1.P.B	SMAD3	1311
SMAD3.H13CORE.2.P.C	SMAD3	1312
SMAD4.H13CORE.0.P.B	SMAD4	1313
SMAD4.H13CORE.1.P.B	SMAD4	1314
SMAD5.H13CORE.0.M.C	SMAD5	1315
SOX1.H13CORE.0.S.B	SOX1	1316
SOX1.H13CORE.1.S.B	SOX1	1317
SOX10.H13CORE.0.PSM.A	SOX10	1318
SOX10.H13CORE.1.PSM.A	SOX10	1319
SOX10.H13CORE.2.S.C	SOX10	1320
SOX11.H13CORE.0.P.B	SOX11	1321
SOX11.H13CORE.1.S.B	SOX11	1322
SOX12.H13CORE.0.SM.B	SOX12	1323
SOX13.H13CORE.0.P.B	SOX13	1324
SOX14.H13CORE.0.SM.B	SOX14	1325
SOX15.H13CORE.0.P.B	SOX15	1326
SOX17.H13CORE.0.PS.A	SOX17	1327
SOX17.H13CORE.1.P.B	SOX17	1328
SOX17.H13CORE.2.S.C	SOX17	1329
SOX18.H13CORE.0.SM.B	SOX18	1330
SOX2.H13CORE.0.P.B	SOX2	1331
SOX2.H13CORE.1.P.B	SOX2	1332
SOX2.H13CORE.2.S.B	SOX2	1333
SOX2.H13CORE.3.S.B	SOX2	1334
SOX21.H13CORE.0.S.B	SOX21	1335
SOX3.H13CORE.0.PM.A	SOX3	1336
SOX3.H13CORE.1.S.C	SOX3	1337
SOX30.H13CORE.0.P.C	SOX30	1338
SOX30.H13CORE.1.SM.B	SOX30	1339
SOX4.H13CORE.0.PSM.A	SOX4	1340
SOX5.H13CORE.0.P.B	SOX5	1341
SOX6.H13CORE.0.P.B	SOX6	1342
SOX7.H13CORE.0.PS.A	SOX7	1343
SOX7.H13CORE.1.SM.B	SOX7	1344
SOX8.H13CORE.0.PSM.A	SOX8	1345
SOX8.H13CORE.1.PS.A	SOX8	1346
SOX9.H13CORE.0.PS.A	SOX9	1347
SOX9.H13CORE.1.PS.A	SOX9	1348
SOX9.H13CORE.2.S.B	SOX9	1349
SRY.H13CORE.0.S.B	SRY	1350
SRY.H13CORE.1.S.B	SRY	1351
