motif	cluster	HGNC
HESX1_MA0894.2	C_mix-a	HESX1
HEY2_MA0649.2	C_Mlxip	HEY2
HIC2_MA0738.2	C_HIC2	HIC2
HIF1A_MA1106.2	C_Mlxip	HIF1A
HINFP_MA0131.3	C_HINFP	HINFP
HLF_MA0043.4	C_DBP	HLF
HMBOX1_MA0895.2	C_HMBOX1	HMBOX1
HNF1A_MA0046.3	C_HNF1A	HNF1A
HNF4A_MA1494.2	C_HNF4A	HNF4A
HNF4A_MA0114.5	C_HNF4G	HNF4A
HNF4G_MA0484.3	C_HNF4G	HNF4G
HOXA10_MA0899.2	C_HOXA10	HOXA10
HOXA4_MA1496.2	C_HOXB4	HOXA4
HOXA6_MA1497.2	C_HOXB7	HOXA6
HOXA7_MA1498.3	C_Dlx2	HOXA7
HOXA9_MA0594.3	C_HOXA9	HOXA9
HOXB2_MA0902.3	C_mix-a	HOXB2
TBX3_MA1566.3	C_TBX2	TBX3
HOXB3_MA0903.2	C_mix-a	HOXB3
HOXB4_MA1499.2	C_HOXB4	HOXB4
HOXB5_MA0904.3	C_mix-a	HOXB5
HOXB6_MA1500.2	C_HOXB7	HOXB6
HOXB7_MA1501.2	C_HOXB7	HOXB7
HOXB8_MA1502.2	C_HOXB7	HOXB8
HOXB9_MA1503.2	C_HOXC10	HOXB9
HOXC10_MA0905.2	C_HOXC10	HOXC10
HOXC11_MA0651.3	C_HOXC10	HOXC11
HOXC12_MA0906.2	C_HOXC10	HOXC12
HOXC13_MA0907.2	C_HOXC13	HOXC13
HOXC4_MA1504.2	C_HOXB4	HOXC4
HOXC8_MA1505.2	C_mix-a	HOXC8
HOXC9_MA0485.3	C_HOXC10	HOXC9
HOXD10_MA1506.2	C_HOXC10	HOXD10
HOXD11_MA0908.2	C_HOXC10	HOXD11
HOXD12_MA0873.2	C_HOXC10	HOXD12
HOXD12ELK1_MA1958.2	C_HOXD12::ELK1	HOXD12::ELK1
HOXD4_MA1507.2	C_mix-a	HOXD4
HOXD8_MA0910.3	C_HOXB7	HOXD8
HOXD9_MA0913.3	C_HOXA10	HOXD9
IKZF1_MA1508.2	C_IKZF1	IKZF1
IRF2_MA0051.2	C_IRF2	IRF2
IRF3_MA1418.2	C_IRF3	IRF3
IRF4_MA1419.2	C_STAT1::STAT2	IRF4
IRF7_MA0772.2	C_IRF7	IRF7
